# completing-run time differences, 2021-05-31 -> 2021-06-08
# delta_ms = resim(2021-06-08) - resim(2021-05-31); positive = the same inputs finish SLOWER on 2021-06-08
replay	declared_ms	resim_a_ms	resim_b_ms	delta_ms	map_uid
2021-05-06_12_37__37564.Replay.Gbx	7092	7092	7221	129	btmbJWADQOS20ginP9DJ0i8sh3f
2020-09-18_14_05__4607.Replay.Gbx	15528	15528	15670	142	Isab0YcnqSzas_rvUqeMf0bYili
2021-06-21_14_41__43845.Replay.Gbx	17098	16948	17098	150	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-04-09_17_52__34598.Replay.Gbx	19438	19438	19590	152	4RytIEiN0POLu7wsQDqWNVIQqGi
2021-03-01_15_48__46777.Replay.Gbx	25091	25082	25340	258	Yakz8xDlVWDfVCfXxW2_paCaHil
2021-03-04_14_18__29607.Replay.Gbx	16852	16852	17254	402	CQknkNKyjbhJtMb62sKOMVqMyJd
2020-10-02_15_02__1531.Replay.Gbx	18502	18502	18930	428	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
2021-06-03_13_02__45747.Replay.Gbx	26351	26351	26957	606	Yakz8xDlVWDfVCfXxW2_paCaHil
2021-05-06_12_37__37601.Replay.Gbx	18938	18938	19634	696	1rwAkLrbqhN47zCsVvJJFJimlcf
2021-03-30_19_17__33095.Replay.Gbx	29188	29188	30075	887	Yakz8xDlVWDfVCfXxW2_paCaHil
2020-09-25_18_53__19109.Replay.Gbx	15036	15036	15998	962	SsCdL6nGC__n8UrYnsX8xaqnjCh
2020-10-09_10_58__10640.Replay.Gbx	25470	25470	26958	1488	8TrzhmnV4NAY8x4LNqlVjbOa3og
#
completing_on_both	139
identical_time	47
slower_on_b	54
faster_on_b	38
abs_delta_min_ms	1
abs_delta_median_ms	16
abs_delta_max_ms	1488
abs_delta_mean_ms	109.0
