time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
10050,1027.09,10.045,1062.53,352.811,98.0032,-74.6173,-1.84618,63.5096,-0.854924,-0.00170504,-0.0467915,-0.0089225,-0.414467,0.021642,0.909763,5,70,-1,1,0,-0.488281,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0705882
10100,1023.43,10.039,1065.79,353.871,98.2976,-72.4276,-1.792,66.4338,-0.812912,-0.00125,-0.0403919,-0.0074101,-0.395287,0.0187963,0.918335,5,71,-1,1,0,-0.488281,True,True,0,0.054902,-0.00784314,-0.00784314,0.054902
10150,1019.9,10.036,1069.22,354.935,98.593,-69.2833,-8.48476e-15,70.1456,-0.770663,-0.000820548,-0.0387438,-0.00690067,-0.375803,0.0181045,0.926497,5,71,-1,1,0,-0.518799,True,True,0,0.054902,-0.00784314,-0.00784314,0.054902
10200,1016.5,10.038,1072.81,356.001,98.8892,-66.8336,8.18476e-15,72.8858,-0.728263,-0.000351239,-0.0418609,-0.00728952,-0.356063,0.0196192,0.934227,5,71,-1,1,0,-0.518799,True,True,0,0.054902,-0.00784314,-0.00784314,0.054902
10250,1013.26,10.044,1076.55,357.071,99.1863,-63.3371,7.75656e-15,76.3304,-0.685709,9.20599e-05,-0.0481598,-0.00813767,-0.336079,0.0226608,0.941526,5,71,-1,1,0,-0.518799,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0705882
10300,1010.16,10.051,1080.43,358.144,99.4843,-60.6435,7.42669e-15,78.8637,-0.642982,0.000588229,-0.0550887,-0.00898135,-0.315854,0.0260369,0.948408,5,72,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
10350,1007.23,10.056,1084.46,359.22,99.7832,-56.8395,-6.96083e-15,82.012,-0.600341,0.00099239,-0.0603601,-0.00939616,-0.295534,0.0286795,0.954855,5,72,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
10400,1004.46,10.059,1088.61,360.299,100.083,-53.903,-1.33367,84.3167,-0.55751,0.00130014,-0.0624752,-0.00921858,-0.275005,0.0298481,0.960935,5,72,-1,1,0,-0.549316,True,True,0,0.101961,-0.00784314,-0.00784314,0.101961
10450,1001.86,10.058,1092.9,361.381,100.384,-50.8914,-1.25915,86.518,-0.514786,0.00154689,-0.0613331,-0.00855287,-0.254418,0.0294548,0.966608,5,73,-1,1,0,-0.549316,True,True,0,0.101961,-0.00784314,-0.00784314,0.0862745
10500,999.441,10.055,1097.31,362.467,100.685,-46.6917,-1.15525,89.1969,-0.471933,0.00170578,-0.0578144,-0.00758596,-0.233661,0.0279029,0.971888,5,73,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
10550,997.205,10.051,1101.82,363.193,100.887,-43.4384,-1.07475,91.0501,-0.429175,0.00182482,-0.0534677,-0.0065833,-0.212845,0.0259233,0.97672,5,73,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
10600,995.158,10.048,1106.43,360.299,100.083,-38.574,-0.954399,92.3458,-0.385335,0.00149458,-0.0499609,-0.00551594,-0.1914,0.0243726,0.981194,5,72,-1,0,0,-0.579834,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0705882
10650,993.349,10.044,1111.05,354.58,98.4944,-34.5653,-0.855214,92.2261,-0.34223,-0.000255868,-0.0485561,-0.00400766,-0.170234,0.0239429,0.985105,5,71,-1,0,0,-0.549316,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0705882
