# frame	172
tick	steer	gas	brake
1262	-45	0	1
1263	-45	0	1
1264	-45	0	1
1265	-27	1	0
1266	-27	1	0
1267	-27	1	0
1268	-27	1	0
1269	-27	1	0
1270	-46	0	0
1271	-46	0	0
1272	-46	0	0
1273	-46	0	0
1274	-46	0	0
1275	-57	0	1
1276	-57	0	1
1277	-57	0	1
1278	-57	0	1
1279	-57	0	1
1280	-50	0	0
1281	-50	0	0
1282	-50	0	0
1283	-50	0	0
1284	-50	0	0
1285	-43	1	0
1286	-43	1	0
1287	-43	1	0
1288	-43	1	0
1289	-43	1	0
1290	-67	0	1
1291	-67	0	1
1292	-67	0	1
1293	-67	0	1
1294	-67	0	1
1295	-59	0	0
1296	-59	0	0
1297	-59	0	0
1298	-59	0	0
1299	-59	0	0
1300	-59	0	0
1301	-59	0	0
1302	-59	0	0
1303	-59	0	0
1304	-59	0	0
1305	-64	0	0
1306	-64	0	0
1307	-64	0	0
1308	-64	0	0
1309	-64	0	0
1310	-72	0	0
1311	-72	0	0
1312	-72	0	0
1313	-72	0	0
1314	-72	0	0
1315	-78	0	0
1316	-78	0	0
1317	-78	0	0
1318	-78	0	0
1319	-78	0	0
1320	-83	0	0
1321	-83	0	0
1322	-83	0	0
1323	-83	0	0
1324	-83	0	0
1325	-89	0	0
1326	-89	0	0
1327	-89	0	0
1328	-89	0	0
1329	-89	0	0
1330	-90	0	0
1331	-90	0	0
1332	-90	0	0
1333	-90	0	0
1334	-90	0	0
1335	-96	0	0
1336	-96	0	0
1337	-96	0	0
1338	-96	0	0
1339	-96	0	0
1340	-92	0	0
1341	-92	0	0
1342	-92	0	0
1343	-92	0	0
1344	-92	0	0
1345	-97	0	0
1346	-97	0	0
1347	-97	0	0
1348	-97	0	0
1349	-97	0	0
1350	-89	0	0
1351	-89	0	0
1352	-89	0	0
1353	-89	0	0
1354	-89	0	0
1355	-110	1	0
1356	-110	1	0
1357	-110	1	0
1358	-110	1	0
1359	-110	1	0
1360	-102	0	0
1361	-102	0	0
1362	-102	0	0
1363	-102	0	0
1364	-102	0	0
1365	-111	0	0
1366	-111	0	0
1367	-111	0	0
1368	-111	0	0
1369	-111	0	0
1370	-99	0	0
1371	-99	0	0
1372	-99	0	0
1373	-99	0	0
1374	-99	0	0
1375	-102	0	0
1376	-102	0	0
1377	-102	0	0
1378	-102	0	0
1379	-102	0	0
1380	-89	1	0
1381	-89	1	0
1382	-89	1	0
1383	-89	1	0
1384	-89	1	0
1385	-111	0	0
1386	-111	0	0
1387	-111	0	0
1388	-111	0	0
1389	-111	0	0
1390	-102	0	0
1391	-102	0	0
1392	-102	0	0
1393	-102	0	0
1394	-102	0	0
1395	-105	0	0
1396	-105	0	0
1397	-105	0	0
1398	-105	0	0
1399	-105	0	0
1400	-108	1	0
1401	-108	1	0
1402	-108	1	0
1403	-108	1	0
1404	-108	1	0
1405	-94	0	0
1406	-94	0	0
1407	-94	0	0
1408	-94	0	0
1409	-94	0	0
1410	-100	0	0
1411	-100	0	0
1412	-100	0	0
1413	-100	0	0
1414	-100	0	0
1415	-88	1	0
1416	-88	1	0
1417	-88	1	0
1418	-88	1	0
1419	-88	1	0
1420	-106	0	0
1421	-106	0	0
1422	-106	0	0
1423	-106	0	0
1424	-106	0	0
1425	-96	1	0
1426	-96	1	0
1427	-96	1	0
1428	-96	1	0
1429	-96	1	0
1430	-84	1	0
1431	-84	1	0
1432	-84	1	0
1433	-84	1	0
1434	-84	1	0
1435	-89	0	0
1436	-89	0	0
1437	-89	0	0
1438	-89	0	0
1439	-89	0	0
1440	-81	0	0
1441	-81	0	0
1442	-81	0	0
1443	-81	0	0
1444	-81	0	0
1445	-71	1	0
1446	-71	1	0
1447	-71	1	0
1448	-71	1	0
1449	-71	1	0
1450	-78	1	0
1451	-78	1	0
1452	-78	1	0
1453	-78	1	0
1454	-78	1	0
1455	-65	1	0
1456	-65	1	0
1457	-65	1	0
1458	-65	1	0
1459	-65	1	0
1460	-61	1	0
1461	-61	1	0
1462	-61	1	0
1463	-61	1	0
1464	-61	1	0
1465	-49	1	0
1466	-49	1	0
1467	-49	1	0
1468	-49	1	0
1469	-49	1	0
1470	-44	1	0
1471	-44	1	0
1472	-44	1	0
1473	-44	1	0
1474	-44	1	0
1475	-38	0	0
1476	-38	0	0
1477	-38	0	0
1478	-38	0	0
1479	-38	0	0
1480	-30	1	0
1481	-30	1	0
1482	-30	1	0
1483	-30	1	0
1484	-30	1	0
1485	-22	1	0
1486	-22	1	0
1487	-22	1	0
1488	-22	1	0
1489	-22	1	0
1490	-10	1	0
1491	-10	1	0
1492	-10	1	0
1493	-10	1	0
1494	-10	1	0
1495	-2	1	0
1496	-2	1	0
1497	-2	1	0
1498	-2	1	0
1499	-2	1	0
1500	5	1	0
1501	5	1	0
1502	5	1	0
1503	5	1	0
1504	5	1	0
1505	14	1	0
1506	14	1	0
1507	14	1	0
1508	14	1	0
1509	14	1	0
1510	20	1	0
1511	20	1	0
1512	20	1	0
1513	20	1	0
1514	20	1	0
1515	24	1	0
1516	24	1	0
1517	24	1	0
1518	24	1	0
1519	24	1	0
1520	26	1	0
1521	26	1	0
1522	26	1	0
1523	26	1	0
1524	26	1	0
1525	27	1	0
1526	27	1	0
1527	27	1	0
1528	27	1	0
1529	27	1	0
1530	26	1	0
1531	26	1	0
1532	26	1	0
1533	26	1	0
1534	26	1	0
1535	25	1	0
1536	25	1	0
1537	25	1	0
1538	25	1	0
